#,Level ( mm ), Moisture Sensor 2( % ), Moisture Sensor 3( % ),Date
102,6,-11,14,2021-08-26 19:47:39
103,7,-11,14,2021-08-26 19:48:38
104,7,-11,14,2021-08-26 19:49:39
105,7,-11,14,2021-08-26 19:50:39
106,8,-11,14,2021-08-26 19:51:39
107,7,-11,14,2021-08-26 19:52:39
108,6,-11,14,2021-08-26 19:53:39
109,7,-11,14,2021-08-26 19:54:39
110,8,-11,14,2021-08-26 19:55:39
111,7,-11,14,2021-08-26 19:56:40
112,8,-11,14,2021-08-26 19:57:40
113,7,-11,14,2021-08-26 19:58:40
114,7,-11,14,2021-08-26 19:59:40
115,8,-11,14,2021-08-26 20:00:40
116,8,-11,14,2021-08-26 20:01:40
117,7,-11,14,2021-08-26 20:02:40
118,7,-11,14,2021-08-26 20:03:41
119,8,-11,14,2021-08-26 20:04:41
120,8,-11,14,2021-08-26 20:05:41
121,7,-11,14,2021-08-26 20:06:42
122,8,-11,14,2021-08-26 20:07:41
123,6,-11,14,2021-08-26 20:08:41
124,8,-11,14,2021-08-26 20:09:41
125,6,-11,14,2021-08-26 20:10:42
126,7,-11,14,2021-08-26 20:11:42
127,6,-11,14,2021-08-26 20:12:42
128,7,-11,14,2021-08-26 20:13:42
129,7,-11,14,2021-08-26 20:14:42
130,8,-11,14,2021-08-26 20:15:42
131,8,-11,14,2021-08-26 20:16:43
132,7,-11,14,2021-08-26 20:17:42
133,7,-11,14,2021-08-26 20:18:43
134,8,-11,14,2021-08-26 20:19:43
135,7,-11,14,2021-08-26 20:20:43
136,7,-11,14,2021-08-26 20:21:43
137,7,-11,14,2021-08-26 20:22:43
138,6,-11,14,2021-08-26 20:23:43
139,7,-11,14,2021-08-26 20:24:43
140,6,-11,14,2021-08-26 20:25:43
141,7,-11,14,2021-08-26 20:26:44
142,7,-11,14,2021-08-26 20:27:44
143,6,-11,14,2021-08-26 20:28:44
144,8,-11,14,2021-08-26 20:29:44
145,7,-11,14,2021-08-26 20:30:44
146,8,-11,14,2021-08-26 20:31:44
147,7,-11,14,2021-08-26 20:32:44
148,7,-11,14,2021-08-26 20:33:45
149,7,-11,14,2021-08-26 20:34:45
150,7,-11,14,2021-08-26 20:35:45
151,6,-11,14,2021-08-26 20:36:45
152,7,-11,14,2021-08-26 20:37:45
153,7,-11,14,2021-08-26 20:38:45
154,7,-11,14,2021-08-26 20:39:46
155,7,-11,14,2021-08-26 20:40:46
156,7,-11,14,2021-08-26 20:41:46
157,7,-11,14,2021-08-26 20:42:46
158,7,-11,14,2021-08-26 20:43:46
159,6,-11,14,2021-08-26 20:44:46
160,7,-11,14,2021-08-26 20:45:46
161,6,-11,14,2021-08-26 20:46:46
162,7,-11,14,2021-08-26 20:47:47
163,6,-11,14,2021-08-26 20:48:47
164,7,-11,14,2021-08-26 20:49:47
165,7,-11,14,2021-08-26 20:50:47
166,7,-11,14,2021-08-26 20:51:47
167,6,-11,14,2021-08-26 20:52:47
168,7,-11,14,2021-08-26 20:53:47
169,7,-11,14,2021-08-26 20:54:48
170,6,-11,14,2021-08-26 20:55:48
171,7,-11,14,2021-08-26 20:56:48
172,6,-11,14,2021-08-26 20:57:48
173,6,-11,14,2021-08-26 20:58:48
174,7,-11,14,2021-08-26 20:59:48
175,7,-11,14,2021-08-26 21:00:48
176,6,-11,14,2021-08-26 21:01:49
177,6,-11,14,2021-08-26 21:02:49
178,7,-11,14,2021-08-26 21:03:49
179,6,-11,14,2021-08-26 21:04:49
180,6,-11,14,2021-08-26 21:05:49
181,6,-11,14,2021-08-26 21:06:49
182,6,-11,14,2021-08-26 21:07:49
183,8,-11,14,2021-08-26 21:08:49
184,6,-11,14,2021-08-26 21:09:50
185,7,-11,14,2021-08-26 21:10:50
186,6,-11,14,2021-08-26 21:11:50
187,7,-11,14,2021-08-26 21:12:50
188,7,-11,14,2021-08-26 21:13:50
189,6,-11,14,2021-08-26 21:14:50
190,7,-11,14,2021-08-26 21:15:51
191,6,-11,14,2021-08-26 21:16:50
192,6,-11,14,2021-08-26 21:17:51
193,6,-11,14,2021-08-26 21:18:51
194,7,-11,14,2021-08-26 21:19:51
195,7,-11,14,2021-08-26 21:20:51
196,7,-11,14,2021-08-26 21:21:51
197,7,-11,14,2021-08-26 21:22:51
198,6,-11,14,2021-08-26 21:23:51
199,7,-11,14,2021-08-26 21:24:52
200,6,-11,14,2021-08-26 21:25:52
201,7,-11,14,2021-08-26 21:26:52
202,6,-11,14,2021-08-26 21:27:52
203,8,-11,14,2021-08-26 21:28:52
204,6,-11,14,2021-08-26 21:29:52
205,7,-11,14,2021-08-26 21:30:52
206,7,-11,14,2021-08-26 21:31:53
207,8,-11,14,2021-08-26 21:32:53
208,7,-11,14,2021-08-26 21:33:53
209,6,-11,14,2021-08-26 21:34:53
210,7,-11,14,2021-08-26 21:35:53
211,6,-11,14,2021-08-26 21:36:53
212,7,-11,14,2021-08-26 21:37:53
213,6,-11,14,2021-08-26 21:38:55
214,6,-11,14,2021-08-26 21:39:54
215,7,-11,14,2021-08-26 21:40:54
216,7,-11,14,2021-08-26 21:41:54
217,7,-11,14,2021-08-26 21:42:54
218,5,-11,14,2021-08-26 21:43:54
219,7,-11,14,2021-08-26 21:44:55
220,6,-11,14,2021-08-26 21:45:55
221,7,-11,14,2021-08-26 21:46:55
222,6,-11,14,2021-08-26 21:47:55
223,6,-11,14,2021-08-26 21:48:55
224,7,-11,14,2021-08-26 21:49:55
225,8,-11,14,2021-08-26 21:50:55
226,7,-11,14,2021-08-26 21:51:55
227,7,-11,14,2021-08-26 21:52:55
228,7,-11,14,2021-08-26 21:53:56
229,6,-11,14,2021-08-26 21:54:56
230,7,-11,14,2021-08-26 21:55:56
231,4,-11,14,2021-08-26 21:56:56
232,6,-11,14,2021-08-26 21:57:56
233,7,-11,14,2021-08-26 21:58:56
234,6,-11,14,2021-08-26 21:59:56
235,8,-11,14,2021-08-26 22:00:56
236,6,-11,14,2021-08-26 22:01:57
237,7,-11,14,2021-08-26 22:02:57
238,7,-11,14,2021-08-26 22:03:57
239,6,-11,14,2021-08-26 22:04:57
240,6,-11,14,2021-08-26 22:05:57
241,6,-11,14,2021-08-26 22:06:57
242,6,-11,14,2021-08-26 22:07:57
243,6,-11,14,2021-08-26 22:08:58
244,6,-11,14,2021-08-26 22:09:58
245,7,-11,14,2021-08-26 22:10:58
246,8,-11,14,2021-08-26 22:11:59
247,7,-11,14,2021-08-26 22:12:58
248,7,-11,14,2021-08-26 22:13:58
249,7,-11,14,2021-08-26 22:14:59
250,7,-11,14,2021-08-26 22:15:59
251,6,-11,14,2021-08-26 22:16:59
252,7,-11,14,2021-08-26 22:17:59
253,5,-11,14,2021-08-26 22:18:59
254,6,-11,14,2021-08-26 22:19:59
255,6,-11,14,2021-08-26 22:20:59
256,7,-11,14,2021-08-26 22:21:59
257,7,-11,14,2021-08-26 22:23:00
258,6,-11,14,2021-08-26 22:24:00
259,7,-11,14,2021-08-26 22:25:00
260,6,-11,14,2021-08-26 22:26:00
261,6,-11,14,2021-08-26 22:27:00
262,6,-11,14,2021-08-26 22:28:00
263,6,-11,14,2021-08-26 22:29:00
264,7,-11,14,2021-08-26 22:30:00
265,6,-11,14,2021-08-26 22:31:01
266,7,-11,14,2021-08-26 22:32:01
267,6,-11,14,2021-08-26 22:33:01
268,6,-11,14,2021-08-26 22:34:01
269,6,-11,14,2021-08-26 22:35:01
270,6,-11,14,2021-08-26 22:36:01
271,6,-11,14,2021-08-26 22:37:01
272,6,-11,14,2021-08-26 22:38:02
273,5,-11,14,2021-08-26 22:39:02
274,6,-11,14,2021-08-26 22:40:02
275,6,-11,14,2021-08-26 22:41:02
276,7,-11,14,2021-08-26 22:42:02
277,7,-11,14,2021-08-26 22:43:02
278,6,-11,14,2021-08-26 22:44:02
279,7,-11,14,2021-08-26 22:45:02
280,6,-11,14,2021-08-26 22:46:03
281,6,-11,14,2021-08-26 22:47:03
282,6,-11,14,2021-08-26 22:48:03
283,6,-11,14,2021-08-26 22:49:03
284,7,-11,14,2021-08-26 22:50:03
285,5,-11,14,2021-08-26 22:51:03
286,7,-11,14,2021-08-26 22:52:03
287,6,-11,14,2021-08-26 22:53:04
288,6,-11,14,2021-08-26 22:54:04
289,6,-11,14,2021-08-26 22:55:04
290,7,-11,14,2021-08-26 22:56:04
291,5,-11,14,2021-08-26 22:57:04
292,6,-11,14,2021-08-26 22:58:05
293,6,-11,14,2021-08-26 22:59:05
294,7,-11,14,2021-08-26 23:00:05
295,5,-11,14,2021-08-26 23:01:05
296,6,-11,14,2021-08-26 23:02:05
297,6,-11,14,2021-08-26 23:03:06
298,6,-11,14,2021-08-26 23:04:05
299,7,-11,14,2021-08-26 23:05:05
300,6,-11,14,2021-08-26 23:06:05
301,6,-11,14,2021-08-26 23:07:06
302,7,-11,13,2021-08-26 23:08:06
303,6,-11,13,2021-08-26 23:09:06
304,6,-11,13,2021-08-26 23:10:06
305,7,-11,14,2021-08-26 23:11:06
306,7,-11,13,2021-08-26 23:12:06
307,6,-11,14,2021-08-26 23:13:07
308,6,-11,14,2021-08-26 23:14:06
309,6,-11,13,2021-08-26 23:15:07
310,6,-11,14,2021-08-26 23:16:07
311,6,-11,14,2021-08-26 23:17:07
312,6,-11,13,2021-08-26 23:18:07
313,6,-11,14,2021-08-26 23:19:07
314,7,-11,14,2021-08-26 23:20:07
315,6,-11,14,2021-08-26 23:21:07
316,6,-11,14,2021-08-26 23:22:08
317,6,-11,14,2021-08-26 23:23:08
318,6,-11,14,2021-08-26 23:24:08
319,6,-11,14,2021-08-26 23:25:08
320,7,-11,14,2021-08-26 23:26:08
321,6,-11,14,2021-08-26 23:27:08
322,7,-11,14,2021-08-26 23:28:08
323,5,-11,14,2021-08-26 23:29:08
324,7,-11,14,2021-08-26 23:30:09
325,5,-11,14,2021-08-26 23:31:09
326,6,-11,14,2021-08-26 23:32:09
327,6,-11,14,2021-08-26 23:33:09
328,7,-11,14,2021-08-26 23:34:09
329,7,-11,14,2021-08-26 23:35:09
330,6,-11,14,2021-08-26 23:36:10
331,6,-11,14,2021-08-26 23:37:10
332,6,-11,14,2021-08-26 23:38:10
333,6,-11,14,2021-08-26 23:39:10
334,6,-11,14,2021-08-26 23:40:10
335,6,-11,14,2021-08-26 23:41:10
336,7,-11,14,2021-08-26 23:42:10
337,6,-11,14,2021-08-26 23:43:11
338,6,-11,14,2021-08-26 23:44:11
339,6,-11,14,2021-08-26 23:45:11
340,6,-11,14,2021-08-26 23:46:11
341,7,-11,14,2021-08-26 23:47:11
342,6,-11,14,2021-08-26 23:48:11
343,7,-11,14,2021-08-26 23:49:11
344,7,-11,14,2021-08-26 23:50:11
345,6,-11,14,2021-08-26 23:51:12
346,5,-11,14,2021-08-26 23:52:14
347,7,-11,14,2021-08-26 23:53:12
348,8,-11,14,2021-08-26 23:54:12
349,7,-11,14,2021-08-26 23:55:12
350,6,-11,14,2021-08-26 23:56:12
351,5,-11,14,2021-08-26 23:57:12
352,5,-11,14,2021-08-26 23:58:13
353,6,-11,14,2021-08-26 23:59:13
354,6,-11,14,2021-08-27 00:00:13
355,7,-11,14,2021-08-27 00:01:13
356,6,-11,14,2021-08-27 00:02:13
357,6,-11,14,2021-08-27 00:03:13
358,5,-11,14,2021-08-27 00:04:13
359,6,-11,14,2021-08-27 00:05:13
360,6,-11,14,2021-08-27 00:06:14
361,6,-11,14,2021-08-27 00:07:14
362,7,-11,14,2021-08-27 00:08:14
363,6,-11,14,2021-08-27 00:09:14
364,5,-11,14,2021-08-27 00:10:14
365,6,-11,14,2021-08-27 00:11:14
366,6,-11,14,2021-08-27 00:12:15
367,6,-11,14,2021-08-27 00:13:15
368,6,-11,14,2021-08-27 00:14:15
369,6,-11,14,2021-08-27 00:15:15
370,6,-11,14,2021-08-27 00:16:15
371,6,-11,14,2021-08-27 00:17:15
372,6,-11,14,2021-08-27 00:18:15
373,7,-11,14,2021-08-27 00:19:15
374,6,-11,14,2021-08-27 00:20:16
375,6,-11,14,2021-08-27 00:21:16
376,6,-11,14,2021-08-27 00:22:16
377,6,-11,14,2021-08-27 00:23:16
378,6,-11,14,2021-08-27 00:24:16
379,6,-11,14,2021-08-27 00:25:16
380,4,-11,14,2021-08-27 00:26:16
381,5,-11,14,2021-08-27 00:27:17
382,6,-11,14,2021-08-27 00:28:17
383,7,-11,14,2021-08-27 00:29:17
384,7,-11,14,2021-08-27 00:30:17
385,6,-11,14,2021-08-27 00:31:17
386,6,-11,14,2021-08-27 00:32:17
387,6,-11,14,2021-08-27 00:33:17
388,6,-11,14,2021-08-27 00:34:17
389,5,-11,14,2021-08-27 00:35:18
390,6,-11,14,2021-08-27 00:36:18
391,6,-11,14,2021-08-27 00:37:18
392,6,-11,14,2021-08-27 00:38:18
393,6,-11,14,2021-08-27 00:39:18
394,7,-11,14,2021-08-27 00:40:18
395,7,-11,14,2021-08-27 00:41:18
396,6,-11,14,2021-08-27 00:42:19
397,6,-11,14,2021-08-27 00:43:19
398,6,-11,14,2021-08-27 00:44:19
399,6,-11,14,2021-08-27 00:45:19
400,6,-11,14,2021-08-27 00:46:19
401,6,-11,14,2021-08-27 00:47:19
402,7,-11,14,2021-08-27 00:48:19
403,6,-11,14,2021-08-27 00:49:20
404,5,-11,14,2021-08-27 00:50:20
405,5,-11,14,2021-08-27 00:51:20
406,7,-11,14,2021-08-27 00:52:20
407,6,-11,14,2021-08-27 00:53:20
408,6,-11,14,2021-08-27 00:54:20
409,5,-11,14,2021-08-27 00:55:20
410,7,-11,14,2021-08-27 00:56:20
411,6,-11,14,2021-08-27 00:57:21
412,6,-11,14,2021-08-27 00:58:21
413,7,-11,14,2021-08-27 00:59:21
414,7,-11,14,2021-08-27 01:00:21
415,6,-11,14,2021-08-27 01:01:21
416,6,-11,14,2021-08-27 01:02:21
417,6,-11,14,2021-08-27 01:03:21
418,6,-11,14,2021-08-27 01:04:22
419,7,-11,14,2021-08-27 01:05:22
420,6,-11,14,2021-08-27 01:06:22
421,6,-11,14,2021-08-27 01:07:22
422,7,-11,14,2021-08-27 01:08:22
423,7,-11,14,2021-08-27 01:09:22
424,5,-11,14,2021-08-27 01:10:22
425,6,-11,14,2021-08-27 01:11:23
426,7,-11,14,2021-08-27 01:12:23
427,7,-11,14,2021-08-27 01:13:23
428,6,-11,14,2021-08-27 01:14:23
429,7,-11,14,2021-08-27 01:15:23
430,7,-11,14,2021-08-27 01:16:23
431,7,-11,14,2021-08-27 01:17:23
432,6,-11,14,2021-08-27 01:18:24
433,7,-11,14,2021-08-27 01:19:24
434,7,-11,14,2021-08-27 01:20:24
435,7,-11,14,2021-08-27 01:21:24
436,6,-11,14,2021-08-27 01:22:24
437,6,-11,14,2021-08-27 01:23:24
438,7,-11,14,2021-08-27 01:24:24
439,6,-11,14,2021-08-27 01:25:24
440,7,-11,14,2021-08-27 01:26:25
441,6,-11,14,2021-08-27 01:27:25
442,6,-11,14,2021-08-27 01:28:25
443,5,-11,14,2021-08-27 01:29:25
444,5,-11,14,2021-08-27 01:30:25
445,7,-11,14,2021-08-27 01:31:25
446,6,-11,14,2021-08-27 01:32:25
447,7,-11,14,2021-08-27 01:33:26
448,7,-11,14,2021-08-27 01:34:26
449,6,-11,14,2021-08-27 01:35:26
450,6,-11,14,2021-08-27 01:36:26
451,6,-11,14,2021-08-27 01:37:26
452,5,-11,14,2021-08-27 01:38:26
453,6,-11,14,2021-08-27 01:39:26
454,6,-11,14,2021-08-27 01:40:27
455,6,-11,14,2021-08-27 01:41:27
456,6,-11,14,2021-08-27 01:42:27
457,7,-11,14,2021-08-27 01:43:27
458,6,-11,14,2021-08-27 01:44:27
459,7,-11,14,2021-08-27 01:45:27
460,6,-11,14,2021-08-27 01:46:27
461,6,-11,14,2021-08-27 01:47:27
462,7,-11,14,2021-08-27 01:48:28
463,6,-11,14,2021-08-27 01:49:28
464,7,-11,14,2021-08-27 01:50:28
465,6,-11,14,2021-08-27 01:51:28
466,7,-11,14,2021-08-27 01:52:28
467,6,-11,14,2021-08-27 01:53:28
468,6,-11,14,2021-08-27 01:54:28
469,5,-11,14,2021-08-27 01:55:29
470,6,-11,14,2021-08-27 01:56:29
471,5,-11,14,2021-08-27 01:57:29
472,6,-11,14,2021-08-27 01:58:29
473,6,-11,14,2021-08-27 01:59:29
474,6,-11,14,2021-08-27 02:00:29
475,6,-11,14,2021-08-27 02:01:29
476,6,-11,14,2021-08-27 02:02:30
477,7,-11,14,2021-08-27 02:03:30
478,5,-11,14,2021-08-27 02:04:30
479,5,-11,14,2021-08-27 02:05:30
480,6,-11,14,2021-08-27 02:06:30
481,5,-11,14,2021-08-27 02:07:30
482,6,-11,14,2021-08-27 02:08:30
483,6,-11,14,2021-08-27 02:09:30
484,5,-11,14,2021-08-27 02:10:31
485,5,-11,14,2021-08-27 02:11:31
486,7,-11,14,2021-08-27 02:12:31
487,8,-11,14,2021-08-27 02:13:31
488,6,-11,14,2021-08-27 02:14:31
489,6,-11,14,2021-08-27 02:15:31
490,6,-11,14,2021-08-27 02:16:31
491,6,-11,14,2021-08-27 02:17:32
492,7,-11,14,2021-08-27 02:18:32
493,6,-11,14,2021-08-27 02:19:32
494,6,-11,14,2021-08-27 02:20:32
495,7,-11,14,2021-08-27 02:21:32
496,7,-11,14,2021-08-27 02:22:32
497,6,-11,14,2021-08-27 02:23:32
498,5,-11,14,2021-08-27 02:24:33
499,6,-11,14,2021-08-27 02:25:33
500,6,-11,14,2021-08-27 02:26:33
501,5,-11,14,2021-08-27 02:27:33
502,6,-11,14,2021-08-27 02:28:33
503,5,-11,14,2021-08-27 02:29:33
504,6,-11,14,2021-08-27 02:30:33
505,6,-11,14,2021-08-27 02:31:34
506,6,-11,14,2021-08-27 02:32:34
507,7,-11,14,2021-08-27 02:33:34
508,6,-11,14,2021-08-27 02:34:34
509,6,-11,14,2021-08-27 02:35:34
510,5,-11,14,2021-08-27 02:36:34
511,7,-11,14,2021-08-27 02:37:34
512,5,-11,14,2021-08-27 02:38:35
513,6,-11,14,2021-08-27 02:39:35
514,7,-11,14,2021-08-27 02:40:35
515,6,-11,14,2021-08-27 02:41:35
516,6,-11,14,2021-08-27 02:42:35
517,6,-11,14,2021-08-27 02:43:35
518,6,-11,14,2021-08-27 02:44:35
519,6,-11,14,2021-08-27 02:45:36
520,6,-11,14,2021-08-27 02:46:36
521,7,-11,14,2021-08-27 02:47:36
522,6,-11,14,2021-08-27 02:48:36
523,6,-11,14,2021-08-27 02:49:36
524,6,-11,14,2021-08-27 02:50:36
525,6,-11,14,2021-08-27 02:51:36
526,6,-11,14,2021-08-27 02:52:36
527,5,-11,14,2021-08-27 02:53:37
528,5,-11,14,2021-08-27 02:54:37
529,6,-11,14,2021-08-27 02:55:37
530,6,-11,14,2021-08-27 02:56:37
531,7,-11,14,2021-08-27 02:57:37
532,6,-11,14,2021-08-27 02:58:37
533,5,-11,14,2021-08-27 02:59:37
534,7,-11,14,2021-08-27 03:00:38
535,7,-11,14,2021-08-27 03:01:38
536,5,-11,14,2021-08-27 03:02:38
537,6,-11,14,2021-08-27 03:03:38
538,7,-11,14,2021-08-27 03:04:38
539,5,-11,14,2021-08-27 03:05:38
540,5,-11,14,2021-08-27 03:06:39
541,5,-11,14,2021-08-27 03:07:39
542,6,-11,14,2021-08-27 03:08:39
543,6,-11,14,2021-08-27 03:09:39
544,5,-11,14,2021-08-27 03:10:39
545,6,-11,14,2021-08-27 03:11:39
546,6,-11,14,2021-08-27 03:12:39
547,6,-11,14,2021-08-27 03:13:39
548,6,-11,14,2021-08-27 03:14:39
549,5,-11,14,2021-08-27 03:15:40
550,7,-11,14,2021-08-27 03:16:40
551,6,-11,14,2021-08-27 03:17:40
552,5,-11,14,2021-08-27 03:18:40
553,6,-11,14,2021-08-27 03:19:40
554,6,-11,14,2021-08-27 03:20:40
555,6,-11,14,2021-08-27 03:21:40
556,6,-11,14,2021-08-27 03:22:41
557,5,-11,14,2021-08-27 03:23:41
558,6,-11,14,2021-08-27 03:24:41
559,6,-11,14,2021-08-27 03:25:41
560,5,-11,14,2021-08-27 03:26:41
561,6,-11,14,2021-08-27 03:27:41
562,6,-11,14,2021-08-27 03:28:41
563,5,-11,14,2021-08-27 03:29:41
564,7,-11,14,2021-08-27 03:30:42
565,6,-11,14,2021-08-27 03:31:42
566,6,-11,14,2021-08-27 03:32:42
567,6,-11,14,2021-08-27 03:33:42
568,7,-11,14,2021-08-27 03:34:42
569,5,-11,14,2021-08-27 03:35:43
570,6,-11,14,2021-08-27 03:36:42
571,7,-11,14,2021-08-27 03:37:43
572,6,-11,14,2021-08-27 03:38:43
573,8,-11,14,2021-08-27 03:39:43
574,5,-11,14,2021-08-27 03:40:43
575,6,-11,14,2021-08-27 03:41:43
576,6,-11,14,2021-08-27 03:42:43
577,7,-11,14,2021-08-27 03:43:43
578,5,-11,14,2021-08-27 03:44:44
579,7,-11,14,2021-08-27 03:45:44
580,6,-11,14,2021-08-27 03:46:44
581,7,-11,14,2021-08-27 03:47:44
582,6,-11,14,2021-08-27 03:48:44
583,6,-11,14,2021-08-27 03:49:44
584,5,-11,14,2021-08-27 03:50:44
585,5,-11,14,2021-08-27 03:51:44
586,6,-11,14,2021-08-27 03:52:45
587,6,-11,14,2021-08-27 03:53:45
588,6,-11,14,2021-08-27 03:54:45
589,6,-11,14,2021-08-27 03:55:45
590,6,-11,14,2021-08-27 03:56:45
591,6,-11,14,2021-08-27 03:57:45
592,5,-11,14,2021-08-27 03:58:46
593,4,-11,14,2021-08-27 03:59:46
594,5,-11,14,2021-08-27 04:00:46
595,6,-11,14,2021-08-27 04:01:46
596,6,-11,14,2021-08-27 04:02:46
597,6,-11,14,2021-08-27 04:03:46
598,7,-11,14,2021-08-27 04:04:46
599,6,-11,14,2021-08-27 04:05:47
600,5,-11,14,2021-08-27 04:06:47
601,7,-11,14,2021-08-27 04:07:47
602,6,-11,14,2021-08-27 04:08:47
603,7,-11,14,2021-08-27 04:09:47
604,6,-11,14,2021-08-27 04:10:47
605,6,-11,14,2021-08-27 04:11:47
606,7,-11,14,2021-08-27 04:12:47
607,6,-11,14,2021-08-27 04:13:48
608,5,-11,14,2021-08-27 04:14:48
609,6,-11,14,2021-08-27 04:15:48
610,7,-11,14,2021-08-27 04:16:48
611,7,-11,14,2021-08-27 04:17:48
612,7,-11,14,2021-08-27 04:18:48
613,6,-11,14,2021-08-27 04:19:48
614,6,-11,14,2021-08-27 04:20:48
615,6,-11,14,2021-08-27 04:21:49
616,6,-11,14,2021-08-27 04:22:49
617,5,-11,14,2021-08-27 04:23:49
618,6,-11,14,2021-08-27 04:24:49
619,6,-11,14,2021-08-27 04:25:49
620,7,-11,14,2021-08-27 04:26:49
621,6,-11,14,2021-08-27 04:27:49
622,7,-11,14,2021-08-27 04:28:50
623,6,-11,14,2021-08-27 04:29:50
624,6,-11,14,2021-08-27 04:30:50
625,7,-11,14,2021-08-27 04:31:50
626,5,-11,14,2021-08-27 04:32:50
627,6,-11,14,2021-08-27 04:33:50
628,6,-11,72,2021-08-27 04:34:50
629,6,-11,72,2021-08-27 04:35:51
630,7,-11,72,2021-08-27 04:36:51
631,7,-11,72,2021-08-27 04:37:51
632,6,-11,72,2021-08-27 04:38:51
